at,monotonic_seconds,api_memory_bytes,api_memory_limit_bytes,api_oom_kill,api_cpu_usage_usec,api_cpu_nr_throttled,api_cpu_throttled_usec,api_cpu_fraction,pg_memory_bytes,pg_memory_limit_bytes,pg_oom_kill,pg_cpu_usage_usec,pg_cpu_nr_throttled,pg_cpu_throttled_usec,pg_cpu_fraction,host_memory_available_bytes,storage_capacity_bytes,storage_used_bytes,storage_free_bytes,storage_used_fraction
2026-09-17T13:07:40.898612+00:00,3917.13946983,120455168,671088640,0,7680670,2,127173,,81420288,536870912,0,10194799,0,0,,1615810560,509332160512,57890832384,448801226752,0.1136602729460593
2026-09-17T13:07:41.899927+00:00,3918.140786063,148385792,671088640,0,8077643,2,127173,0.19822558893837008,83582976,536870912,0,10412655,0,0,0.10878481383811382,1587675136,509332160512,57890832384,448801226752,0.1136602729460593
2026-09-17T13:07:42.900646+00:00,3919.141492323,190767104,671088640,0,9056770,2,127173,0.4892179849060839,82673664,536870912,0,10414573,0,0,0.0009583231746748573,1586053120,509332160512,57890832384,448801226752,0.1136602729460593
2026-09-17T13:07:43.901166+00:00,3920.14201588,233771008,671088640,0,10053348,2,127173,0.498028253821425,82632704,536870912,0,10415922,0,0,0.0006741470455951289,1554935808,509332160512,57890832384,448801226752,0.1136602729460593
2026-09-17T13:07:44.901636+00:00,3921.142480436,291020800,671088640,0,10996408,2,127173,0.4713110496241393,82874368,536870912,0,10460720,0,0,0.022388599241895735,1532162048,509332160512,57890832384,448801226752,0.1136602729460593
2026-09-17T13:07:45.902281+00:00,3922.143131009,388792320,671088640,0,11992991,2,127173,0.4979675357662259,83210240,536870912,0,10462126,0,0,0.0007025429445287684,1429258240,509332160512,57890832384,448801226752,0.1136602729460593
2026-09-17T13:07:46.903079+00:00,3923.143930615,670920704,671088640,0,12987017,2,127173,0.49661590294437324,79540224,536870912,0,10463904,0,0,0.0008882897182116923,1230946304,509332160512,57890832384,448801226752,0.1136602729460593
