scenario_id,operation,route,measured,started_at,finished_at,duration_ms,first_byte_ms,status_code,expected_status,success,response_bytes,correlation_id,error_code
V00,QUERY,serial-detail,True,2026-09-17T13:07:37.218626+00:00,2026-09-17T13:07:37.256042+00:00,37.407579,37.240707,200,200,True,222,37b12df2-8aa8-485c-b5ba-fd2803b1d1c4,
V00,QUERY,pending-list,True,2026-09-17T13:07:37.256104+00:00,2026-09-17T13:07:37.300234+00:00,44.120695,43.909029,200,200,True,133,ce331e39-3545-47c5-9424-31aa1b89749a,
V00,QUERY,history-list,True,2026-09-17T13:07:37.300296+00:00,2026-09-17T13:07:37.338811+00:00,38.504118,38.273738,200,200,True,22106,ce705342-6713-4b2b-874b-595c4e217d45,
V00,QUERY,consolidated,True,2026-09-17T13:07:37.338887+00:00,2026-09-17T13:07:37.412818+00:00,73.920362,73.655351,200,200,True,112946,3cce95f7-bb95-4531-af9d-afef3ce57df9,
V00,QUERY,indicators,True,2026-09-17T13:07:37.412871+00:00,2026-09-17T13:07:37.453419+00:00,40.536927,40.259609,200,200,True,469,cadc4bbe-da42-45c2-8552-ca8ce260f528,
V00,QUERY,search-workorder,True,2026-09-17T13:07:37.453490+00:00,2026-09-17T13:07:37.491702+00:00,38.204265,38.048561,200,200,True,516,e23c5cee-5d1c-421f-863c-21ac7c6cbd0a,
V00,QUERY,workorder-detail,True,2026-09-17T13:07:37.491749+00:00,2026-09-17T13:07:37.523779+00:00,32.021533,31.809085,200,200,True,591,c08bb9e0-27b1-4619-aa8c-4b5e54359974,
V00,QUERY,lot-detail,True,2026-09-17T13:07:37.523835+00:00,2026-09-17T13:07:37.559807+00:00,35.963233,35.82636,200,200,True,365,3ccbe11b-97d1-43e5-b53a-f975217cba63,
V00,QUERY,serial-detail,True,2026-09-17T13:07:37.559854+00:00,2026-09-17T13:07:37.600804+00:00,40.941723,40.703094,200,200,True,222,de80ba1e-fc9b-4b52-bcd7-083e85128bcb,
V00,QUERY,pending-list,True,2026-09-17T13:07:37.600881+00:00,2026-09-17T13:07:37.636878+00:00,35.983451,35.817862,200,200,True,133,31649c41-caee-4d9e-8021-c52cd79e9ac0,
V00,QUERY,history-list,True,2026-09-17T13:07:37.636932+00:00,2026-09-17T13:07:37.670084+00:00,33.142334,32.975077,200,200,True,22106,399d0e55-090b-4e62-a9a4-be40c945e9ee,
V00,QUERY,consolidated,True,2026-09-17T13:07:37.670146+00:00,2026-09-17T13:07:37.733559+00:00,63.405711,63.202694,200,200,True,112946,97f63fb9-1e9d-42ec-b7c1-2393538e28db,
V00,QUERY,indicators,True,2026-09-17T13:07:37.733593+00:00,2026-09-17T13:07:37.770340+00:00,36.741685,36.560412,200,200,True,469,6aa3e208-cfd8-44d6-a50f-3aa6259324b6,
V00,QUERY,search-workorder,True,2026-09-17T13:07:37.770392+00:00,2026-09-17T13:07:37.806458+00:00,36.057523,35.742335,200,200,True,516,e0ce3147-8641-4bac-96d3-38b7ec24f5b5,
V00,QUERY,workorder-detail,True,2026-09-17T13:07:37.806513+00:00,2026-09-17T13:07:37.847481+00:00,40.963965,40.810574,200,200,True,591,521120aa-794d-47ca-95fd-e01c40d8e25d,
V00,QUERY,lot-detail,True,2026-09-17T13:07:37.847531+00:00,2026-09-17T13:07:37.898460+00:00,50.921805,50.755026,200,200,True,365,184345d8-b933-44ff-9d93-9c08fc80b233,
V00,QUERY,serial-detail,True,2026-09-17T13:07:37.898509+00:00,2026-09-17T13:07:37.934660+00:00,36.14292,35.911303,200,200,True,222,6efe652d-fbe5-47ef-b073-4678ff92785d,
V00,QUERY,pending-list,True,2026-09-17T13:07:37.934726+00:00,2026-09-17T13:07:37.981575+00:00,46.841712,46.676815,200,200,True,133,c7df85c0-d758-4e7e-8a08-349c4bd6c942,
V00,QUERY,history-list,True,2026-09-17T13:07:37.981629+00:00,2026-09-17T13:07:38.006256+00:00,24.61893,24.491004,200,200,True,22106,cce53fae-06b9-4e3a-b917-31ddea59443e,
V00,QUERY,consolidated,True,2026-09-17T13:07:38.006297+00:00,2026-09-17T13:07:38.086997+00:00,80.69349,80.120306,200,200,True,112946,2da7bf7c-e05d-4d8e-ac03-80350280c612,
V00,QUERY,indicators,True,2026-09-17T13:07:38.087062+00:00,2026-09-17T13:07:38.136532+00:00,49.459098,49.186872,200,200,True,469,c5432515-9361-4af5-ac89-523714783f06,
V00,REPORT,POST /reports (workorder_consolidated),False,2026-09-17T13:07:38.136637+00:00,2026-09-17T13:07:38.229357+00:00,92.709448,92.465604,201,201,True,17415,323dc855-1324-4130-9889-7be913f3995d,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/csv),False,2026-09-17T13:07:38.229774+00:00,2026-09-17T13:07:38.278372+00:00,48.580746,48.34139,200,200,True,11835,049edad4-470a-45b2-b5fc-9f1ad7519aca,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/json),False,2026-09-17T13:07:38.278444+00:00,2026-09-17T13:07:38.323976+00:00,45.522053,45.377047,200,200,True,25727,24527da0-3e0e-4c63-b31e-5e088d74ef6e,
V00,REPORT,POST /reports (oqc_summary),False,2026-09-17T13:07:38.324025+00:00,2026-09-17T13:07:38.420086+00:00,96.054827,95.362451,201,201,True,261218,6c8d4dd5-9714-4111-9047-f3e9d4272809,
V00,EXPORT,GET /reports/version/export (oqc_summary/csv),False,2026-09-17T13:07:38.422492+00:00,2026-09-17T13:07:38.473638+00:00,51.130191,50.730128,200,200,True,196558,fbdaa1bf-bfd5-426b-a664-24ad1a88b054,
V00,EXPORT,GET /reports/version/export (oqc_summary/json),False,2026-09-17T13:07:38.473687+00:00,2026-09-17T13:07:38.536780+00:00,63.085313,62.338208,200,200,True,381093,8b3e6fa7-4da3-4cf9-965e-9ce87d29be2a,
V00,REPORT,POST /reports (workorder_consolidated),True,2026-09-17T13:07:38.536842+00:00,2026-09-17T13:07:38.607090+00:00,70.242052,70.094245,201,201,True,17415,d34250f9-ea7a-437f-82bb-25fa084e1ca8,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/csv),True,2026-09-17T13:07:38.607356+00:00,2026-09-17T13:07:38.639363+00:00,31.997937,31.713568,200,200,True,11835,b8b6a796-6942-4825-96a4-f45be949b139,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/json),True,2026-09-17T13:07:38.639408+00:00,2026-09-17T13:07:38.684747+00:00,45.332929,45.168378,200,200,True,25727,c4792bb7-f5c4-41db-af97-d3e3105928fd,
V00,REPORT,POST /reports (oqc_summary),True,2026-09-17T13:07:38.684813+00:00,2026-09-17T13:07:38.764665+00:00,79.845056,79.201556,201,201,True,261218,43cabb63-7fba-4b9b-b8be-d74b1c5caee5,
V00,EXPORT,GET /reports/version/export (oqc_summary/csv),True,2026-09-17T13:07:38.766773+00:00,2026-09-17T13:07:38.816094+00:00,49.305866,48.813013,200,200,True,196558,71b215e1-c876-4f59-94b2-854985c0d976,
V00,EXPORT,GET /reports/version/export (oqc_summary/json),True,2026-09-17T13:07:38.816157+00:00,2026-09-17T13:07:38.858661+00:00,42.495898,41.564332,200,200,True,381093,4703da50-eae6-4d8c-9c1b-564e59993567,
V00,REPORT,POST /reports (workorder_consolidated),True,2026-09-17T13:07:38.858742+00:00,2026-09-17T13:07:38.936478+00:00,77.727184,77.561415,201,201,True,17415,b0d762f8-af24-4b53-bc4a-fc9a3ddd9120,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/csv),True,2026-09-17T13:07:38.936774+00:00,2026-09-17T13:07:38.986031+00:00,49.246975,49.077522,200,200,True,11835,c043c561-e18a-4e38-b920-fc8fefd36821,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/json),True,2026-09-17T13:07:38.986087+00:00,2026-09-17T13:07:39.031329+00:00,45.231973,44.968141,200,200,True,25727,14f3b409-d844-48ec-be83-df7164b2577a,
V00,REPORT,POST /reports (oqc_summary),True,2026-09-17T13:07:39.031413+00:00,2026-09-17T13:07:39.107770+00:00,76.347804,75.821863,201,201,True,261218,c51f1c45-b60a-475d-b08a-da062b87326f,
V00,EXPORT,GET /reports/version/export (oqc_summary/csv),True,2026-09-17T13:07:39.109735+00:00,2026-09-17T13:07:39.170014+00:00,60.266689,59.946137,200,200,True,196558,fae60122-8f81-47c0-ba39-8a4cb695fc17,
V00,EXPORT,GET /reports/version/export (oqc_summary/json),True,2026-09-17T13:07:39.170075+00:00,2026-09-17T13:07:39.216397+00:00,46.312475,45.261682,200,200,True,381093,2f19630c-8be2-4b0f-b69a-fc6302ce6e8f,
V00,REPORT,POST /reports (workorder_consolidated),True,2026-09-17T13:07:39.216485+00:00,2026-09-17T13:07:39.289373+00:00,72.878287,72.724416,201,201,True,17415,5cfeabb4-97d0-4cc4-a1c7-26158e58f5d8,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/csv),True,2026-09-17T13:07:39.289603+00:00,2026-09-17T13:07:39.322939+00:00,33.328207,33.178373,200,200,True,11835,4e0db871-550a-4dfe-93cc-e8ac09560086,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/json),True,2026-09-17T13:07:39.322988+00:00,2026-09-17T13:07:39.346741+00:00,23.745845,23.591875,200,200,True,25727,2dabdcf8-9433-4bc1-9a6e-8f84b5a79694,
V00,REPORT,POST /reports (oqc_summary),True,2026-09-17T13:07:39.346798+00:00,2026-09-17T13:07:39.414429+00:00,67.624665,67.045405,201,201,True,261218,22ba2ca5-6cba-47c3-bba8-2b5d49222c86,
