at,monotonic_seconds,api_memory_bytes,api_memory_limit_bytes,api_oom_kill,api_cpu_usage_usec,api_cpu_nr_throttled,api_cpu_throttled_usec,api_cpu_fraction,pg_memory_bytes,pg_memory_limit_bytes,pg_oom_kill,pg_cpu_usage_usec,pg_cpu_nr_throttled,pg_cpu_throttled_usec,pg_cpu_fraction,host_memory_available_bytes,storage_capacity_bytes,storage_used_bytes,storage_free_bytes,storage_used_fraction
2026-09-17T12:40:35.794378+00:00,2292.035237677,744087552,1342177280,0,12632964,2,93021,0.19010510306792283,153268224,402653184,0,10732323,0,0,0.308059185463843,2454740992,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:36.795708+00:00,2293.03656414,743571456,1342177280,0,13012167,2,93021,0.18935033378824642,160440320,402653184,0,11320174,0,0,0.2935361351776079,2454683648,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:37.796638+00:00,2294.037483163,743424000,1342177280,0,13397064,2,93021,0.19227179779552098,166907904,402653184,0,11912809,0,0,0.29604542744305246,2452725760,509332160512,57691594752,448990470144,0.11326909868406154
2026-09-17T12:40:38.797343+00:00,2295.038194193,743387136,1342177280,0,13757336,2,93021,0.18000800890546031,191741952,402653184,0,12493541,0,0,0.2901596877572661,2436173824,509332160512,57691594752,448990470144,0.11326909868406154
2026-09-17T12:40:39.798194+00:00,2296.039044256,743432192,1342177280,0,14098721,2,93021,0.17054752386020036,206741504,402653184,0,13112046,0,0,0.30898983917030104,2436030464,509332160512,57691594752,448990470144,0.11326909868406154
2026-09-17T12:40:40.799620+00:00,2297.040470056,743616512,1342177280,0,14459123,2,93021,0.17994443522431985,218603520,402653184,0,13712026,0,0,0.2995628832411791,2429140992,509332160512,57691594752,448990470144,0.11326909868406154
2026-09-17T12:40:41.800418+00:00,2298.041272436,743723008,1342177280,0,14812844,2,93021,0.1767187044459098,246087680,402653184,0,14329936,0,0,0.3087072994370482,2426437632,509332160512,57691594752,448990470144,0.11326909868406154
2026-09-17T12:40:42.801041+00:00,2299.041885411,743526400,1342177280,0,15163168,2,93021,0.1750546958478184,256471040,402653184,0,14947024,0,0,0.30835498610240397,2438434816,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:43.801746+00:00,2300.042599075,743993344,1342177280,0,15523898,2,93021,0.18023637178993424,262447104,402653184,0,15524181,0,0,0.28837269878624755,2430373888,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:44.802585+00:00,2301.043432211,743981056,1342177280,0,15882319,2,93021,0.17906131757012794,271024128,402653184,0,16117966,0,0,0.29664535407629133,2420867072,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:45.803356+00:00,2302.044207792,744087552,1342177280,0,16218025,2,93021,0.1677229172920505,293294080,402653184,0,16803885,0,0,0.3426937132671027,2412412928,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:46.804051+00:00,2303.044898151,744529920,1342177280,0,16529778,2,93021,0.15576896349417926,298528768,402653184,0,17529046,0,0,0.3623303619737501,2412879872,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:47.804759+00:00,2304.045605738,744001536,1342177280,0,16869856,2,93021,0.1699187676888753,303816704,402653184,0,18235265,0,0,0.3528598209777457,2412728320,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:48.805481+00:00,2305.046334498,744288256,1342177280,0,17181861,2,93021,0.155888894409361,309301248,402653184,0,18958722,0,0,0.36146507870935746,2406215680,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:49.806156+00:00,2306.047011567,744505344,1342177280,0,17486621,2,93021,0.15227689803289898,332611584,402653184,0,19718052,0,0,0.37940811452723844,2398998528,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:50.806734+00:00,2307.047578502,743948288,1342177280,0,17815049,2,93021,0.16412095408692357,338587648,402653184,0,20432672,0,0,0.3571075432350388,2398662656,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:51.807284+00:00,2308.048128265,744108032,1342177280,0,18144116,2,93021,0.16444309527061787,344752128,402653184,0,21161547,0,0,0.3642372558335281,2395242496,509332160512,57717760000,448969187328,0.11332047036256246
2026-09-17T12:40:52.807779+00:00,2309.048625484,744267776,1342177280,0,18469248,2,93021,0.16248520926674115,366149632,402653184,0,21886739,0,0,0.3624157999783674,2385731584,509332160512,57717760000,448969187328,0.11332047036256246
