at,monotonic_seconds,api_memory_bytes,api_memory_limit_bytes,api_oom_kill,api_cpu_usage_usec,api_cpu_nr_throttled,api_cpu_throttled_usec,api_cpu_fraction,pg_memory_bytes,pg_memory_limit_bytes,pg_oom_kill,pg_cpu_usage_usec,pg_cpu_nr_throttled,pg_cpu_throttled_usec,pg_cpu_fraction,host_memory_available_bytes,storage_capacity_bytes,storage_used_bytes,storage_free_bytes,storage_used_fraction
2026-09-17T12:40:25.785443+00:00,2282.026301943,137990144,1342177280,0,4823384,2,93021,,117084160,402653184,0,8965689,0,0,,2499584000,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:26.786357+00:00,2283.02720111,168820736,1342177280,0,5258834,2,93021,0.2175294047376931,118833152,402653184,0,9207783,0,0,0.1209382563108671,2450518016,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:27.786880+00:00,2284.027724114,219308032,1342177280,0,6256172,2,93021,0.4984083304494842,118333440,402653184,0,9209252,0,0,0.0007341160543670172,2438057984,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:28.787482+00:00,2285.028334685,268746752,1342177280,0,7224743,2,93021,0.483989989748006,118906880,402653184,0,9231956,0,0,0.011345073027417432,2388537344,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:29.788091+00:00,2286.028937732,321105920,1342177280,0,8203464,2,93021,0.48906557047496424,118685696,402653184,0,9243323,0,0,0.0056800746480242265,2342416384,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:30.788741+00:00,2287.029585483,429244416,1342177280,0,9199838,2,93021,0.4978645077671856,118439936,402653184,0,9245352,0,0,0.0010138432820001521,2291462144,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:31.789407+00:00,2288.030256516,603185152,1342177280,0,10197405,2,93021,0.4984490242559615,118738944,402653184,0,9247143,0,0,0.0008948994929086738,2201038848,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:32.790532+00:00,2289.031391448,951832576,1342177280,0,11193866,2,93021,0.49766568329083777,118579200,402653184,0,9247880,0,0,0.0003680822516740218,1792032768,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:33.791883+00:00,2290.032740608,743579648,1342177280,0,11862538,2,93021,0.3338855349915289,124211200,402653184,0,9552415,0,0,0.1520623435685138,2465992704,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:34.793118+00:00,2291.03398365,743870464,1342177280,0,12252277,2,93021,0.19462756975640194,129744896,402653184,0,10115432,0,0,0.2811590075448958,2466451456,509332160512,57693859840,448992464896,0.11327354585660553
